genres,game_name,game_id,release_year
Action,Lost Summoner Kitty,761140,2018
Casual,Lost Summoner Kitty,761140,2018
Indie,Lost Summoner Kitty,761140,2018
Simulation,Lost Summoner Kitty,761140,2018
Strategy,Lost Summoner Kitty,761140,2018
Free to Play,Ironbound,643980,2018
Indie,Ironbound,643980,2018
RPG,Ironbound,643980,2018
Strategy,Ironbound,643980,2018
Casual,Real Pool 3D - Poolians,670290,2017
Free to Play,Real Pool 3D - Poolians,670290,2017
Indie,Real Pool 3D - Poolians,670290,2017
Simulation,Real Pool 3D - Poolians,670290,2017
Sports,Real Pool 3D - Poolians,670290,2017
Action,弹炸人2222,767400,2017
Adventure,弹炸人2222,767400,2017
Casual,弹炸人2222,767400,2017
,Log Challenge,773570,0
Action,Battle Royale Trainer,772540,2018
Adventure,Battle Royale Trainer,772540,2018
Simulation,Battle Royale Trainer,772540,2018
Free to Play,SNOW - All Access Basic Pass,774276,2018
Indie,SNOW - All Access Basic Pass,774276,2018
Simulation,SNOW - All Access Basic Pass,774276,2018
Sports,SNOW - All Access Basic Pass,774276,2018
Free to Play,SNOW - All Access Pro Pass,774277,2018
Indie,SNOW - All Access Pro Pass,774277,2018
Simulation,SNOW - All Access Pro Pass,774277,2018
Sports,SNOW - All Access Pro Pass,774277,2018
Free to Play,SNOW - All Access Legend Pass,774278,2018
Indie,SNOW - All Access Legend Pass,774278,2018
Simulation,SNOW - All Access Legend Pass,774278,2018
Sports,SNOW - All Access Legend Pass,774278,2018
Casual,Race,768800,2018
Indie,Race,768800,2018
Racing,Race,768800,2018
Simulation,Race,768800,2018
Action,Uncanny Islands,768570,0
Indie,Uncanny Islands,768570,0
Simulation,Uncanny Islands,768570,0
Early Access,Uncanny Islands,768570,0
,Icarus Six Sixty Six,724910,0
Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,2018
Adventure,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,2018
Casual,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,2018
Indie,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,2018
RPG,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,2018
Casual,Beach Rules,768880,2018
Indie,Beach Rules,768880,2018
Casual,Planetarium 2 - Zen Odyssey,765320,2018
Indie,Planetarium 2 - Zen Odyssey,765320,2018
Simulation,Planetarium 2 - Zen Odyssey,765320,2018
Adventure,The first thrust of God,773650,2018
Casual,The first thrust of God,773650,2018
Indie,The first thrust of God,773650,2018
Simulation,The first thrust of God,773650,2018
Strategy,The first thrust of God,773650,2018
Free to Play,SNOW - Starter Pack,774271,2018
Indie,SNOW - Starter Pack,774271,2018
Simulation,SNOW - Starter Pack,774271,2018
Sports,SNOW - Starter Pack,774271,2018
Adventure,The first thrust of God - All Aircrafts,773690,2018
Casual,The first thrust of God - All Aircrafts,773690,2018
Indie,The first thrust of God - All Aircrafts,773690,2018
Simulation,The first thrust of God - All Aircrafts,773690,2018
Strategy,The first thrust of God - All Aircrafts,773690,2018
Free to Play,SNOW - Lifetime Pack,774279,2018
Indie,SNOW - Lifetime Pack,774279,2018
Simulation,SNOW - Lifetime Pack,774279,2018
Sports,SNOW - Lifetime Pack,774279,2018
,After Life VR,772590,0
,Kitty Hawk,640250,0
Action,The Warrior Of Treasures,768060,2018
Adventure,The Warrior Of Treasures,768060,2018
Indie,The Warrior Of Treasures,768060,2018
,Mortars VR,711440,0
Racing,RC Plane 3 - Canyon Scenario,775880,2017
Simulation,RC Plane 3 - Canyon Scenario,775880,2017
Sports,RC Plane 3 - Canyon Scenario,775880,2017
Racing,RC Plane 3 - F-53B,775881,2017
Simulation,RC Plane 3 - F-53B,775881,2017
Sports,RC Plane 3 - F-53B,775881,2017
Action,DinoBlaster,653960,2018
Indie,DinoBlaster,653960,2018
,Robotpencil Presents: Understanding 3D for Concept,777910,2018
Action,Carmageddon Max Pack,282010,1997
Indie,Carmageddon Max Pack,282010,1997
Racing,Carmageddon Max Pack,282010,1997
Action,Half-Life,70,1998
Action,Fallen Mage,752360,2016
Indie,Fallen Mage,752360,2016
RPG,Fallen Mage,752360,2016
,Don't Get Hit In The Face,594200,0
Casual,Lost Cities,520680,2018
Indie,Lost Cities,520680,2018
Strategy,Lost Cities,520680,2018
Action,Twisted Enhanced Edition,690410,2018
Casual,Vaporwave Simulator,766850,2018
Indie,Vaporwave Simulator,766850,2018
Simulation,Vaporwave Simulator,766850,2018
Action,Tactics Forever,413120,2018
Casual,Tactics Forever,413120,2018
Indie,Tactics Forever,413120,2018
Massively Multiplayer,Tactics Forever,413120,2018
Simulation,Tactics Forever,413120,2018
Sports,Tactics Forever,413120,2018
Strategy,Tactics Forever,413120,2018
Adventure,Christmas Santa Troubles,773120,2017
Casual,Christmas Santa Troubles,773120,2017
Indie,Christmas Santa Troubles,773120,2017
,Kingdom Watcher,680970,0
Action,Underdone - Soundtrack,754360,2018
Adventure,Underdone - Soundtrack,754360,2018
RPG,Underdone - Soundtrack,754360,2018
Adventure,Bitcoin Clicker,716110,2018
Casual,Bitcoin Clicker,716110,2018
Indie,Bitcoin Clicker,716110,2018
RPG,Bitcoin Clicker,716110,2018
Strategy,Disciples II: Gallean's Return,1640,2006
Strategy,Disciples II: Rise of the Elves,1630,2006
Action,The Ship: Murder Party,2400,2006
Indie,The Ship: Murder Party,2400,2006
RPG,The Ship: Murder Party,2400,2006
Strategy,United Tactics,662570,0
Indie,Life of Rome,381620,0
Massively Multiplayer,Life of Rome,381620,0
RPG,Life of Rome,381620,0
Early Access,Life of Rome,381620,0
Adventure,Idle Adventure,714020,0
Free to Play,Idle Adventure,714020,0
RPG,Idle Adventure,714020,0
Early Access,Idle Adventure,714020,0
,Panoptic,541930,0
Action,Souland,759920,2017
Indie,Souland,759920,2017
Strategy,Souland,759920,2017
Early Access,Souland,759920,2017
Action,Darkness and a Crowd,659780,2018
Adventure,Darkness and a Crowd,659780,2018
Indie,Darkness and a Crowd,659780,2018
RPG,Darkness and a Crowd,659780,2018
Strategy,Darkness and a Crowd,659780,2018
Action,TAROTICA VOO DOO,603280,2017
Adventure,TAROTICA VOO DOO,603280,2017
Indie,TAROTICA VOO DOO,603280,2017
RPG,TAROTICA VOO DOO,603280,2017
Casual,Chronicles of Vinland,753110,2017
Strategy,Chronicles of Vinland,753110,2017
Early Access,Chronicles of Vinland,753110,2017
Action,Orbitality,753100,2017
Indie,Orbitality,753100,2017
,Medicalholodeck Personal Version,769350,0
Action,Atomic Adam: Episode 1,764280,2017
Adventure,Atomic Adam: Episode 1,764280,2017
Casual,Atomic Adam: Episode 1,764280,2017
,Golf Masters,374970,0
Adventure,Mirt. Tales of the Cold Land. Chapter 2,758550,2017
Casual,Mirt. Tales of the Cold Land. Chapter 2,758550,2017
Free to Play,Mirt. Tales of the Cold Land. Chapter 2,758550,2017
Indie,Mirt. Tales of the Cold Land. Chapter 2,758550,2017
Action,Advent Rising,3800,2005
Indie,DEFCON,1520,2006
Strategy,DEFCON,1520,2006
Action,The Ship: Single Player,2420,2006
Indie,The Ship: Single Player,2420,2006
RPG,The Ship: Single Player,2420,2006
Indie,Garry's Mod,4000,2006
Simulation,Garry's Mod,4000,2006
Racing,RACE - The WTCC Game,4230,2006
Casual,Zen of Sudoku,4900,2006
Indie,Zen of Sudoku,4900,2006
Casual,Gumboy - Crazy Adventures™,2520,2006
Indie,Gumboy - Crazy Adventures™,2520,2006
Strategy,Ghost Master®,6200,2003
Strategy,Vegas: Make It Big™,6210,2006
Adventure,Dreamfall: The Longest Journey,6300,2006
RPG,Dreamfall: The Longest Journey,6300,2006
Racing,FlatOut 2™,2990,2006
Racing,FlatOut,6220,2005
Action,Lost Planet™: Extreme Condition,6510,2007
Adventure,Lost Planet™: Extreme Condition,6510,2007
Strategy,CivCity: Rome,3980,2006
RPG,Arx Fatalis,1700,2002
Action,The Longest Journey,6310,2000
Adventure,The Longest Journey,6310,2000
RPG,The Longest Journey,6310,2000
Strategy,Civilization IV®: Warlords,3990,2006
Strategy,Railroad Tycoon 3,7610,2003
Strategy,Sid Meier's Railroads!,7600,2006
Strategy,Railroad Tycoon II Platinum,7620,1998
