game_id,game_name
10,Counter-Strike
20,Team Fortress Classic
30,Day of Defeat
40,Deathmatch Classic
50,Half-Life: Opposing Force
60,Ricochet
70,Half-Life
80,Counter-Strike: Condition Zero
130,Half-Life: Blue Shift
220,Half-Life 2
240,Counter-Strike: Source
280,Half-Life: Source
300,Day of Defeat: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
500,Left 4 Dead
550,Left 4 Dead 2
620,Portal 2Portal 2
730,Counter-Strike: Global Offensive
1200,Red Orchestra: Ostfront 41-45
1250,Killing Floor
1280,Darkest Hour: Europe '44-'45Darkest Hour: Europe '44-'45
1510,UplinkUplink
1520,DEFCONDEFCON
1690,Space Empires V
1900,Earth 2160
1930,Two Worlds Epic Edition
2100,Dark Messiah of Might & MagicDark Messiah of Might & Magic
2200,Quake III Arena
2270,Wolfenstein 3D
2280,Ultimate Doom
2290,Final DOOM
2300,DOOM II
2310,QUAKE
2320,QUAKE II
2400,The Ship: Murder PartyThe Ship: Murder PartyThe Ship: Murder Party
2420,The Ship: Single PlayerThe Ship: Single PlayerThe Ship: Single Player
2450,Bloody Good Time
2500,Shadowgrounds
2590,Alpha Prime
2600,Vampire: The Masquerade - Bloodlines
2610,GUN™
2620,Call of Duty®
2630,Call of Duty® 2
2640,Call of Duty: United Offensive
2700,RollerCoaster Tycoon® 3: PlatinumRollerCoaster Tycoon® 3: Platinum
2810,X3: Reunion
2820,X3: Terran ConflictX3: Terran ConflictX3: Terran Conflict
2870,X RebirthX Rebirth
2990,FlatOut 2™
3170,King's Bounty: Armored PrincessKing's Bounty: Armored Princess
3320,Insaniquarium Deluxe
3390,Feeding Frenzy 2 Deluxe
3450,Typer Shark! Deluxe
3480,Peggle Deluxe
3483,Peggle Extreme
3590,Plants vs. Zombies GOTY Edition
3620,Zuma's Revenge!Zuma's Revenge!
3700,Sniper Elite
3710,Judge Dredd: Dredd vs. Death
3720,Evil Genius
3730,Aliens versus Predator Classic 2000
3800,Advent Rising
3830,Psychonauts
3900,Sid Meier's Civilization® IV
3910,Sid Meier's Civilization® III Complete
3920,Sid Meier's Pirates!
4000,Garry's ModGarry's Mod
4500,S.T.A.L.K.E.R.: Shadow of ChernobylS.T.A.L.K.E.R.: Shadow of Chernobyl
4560,Company of Heroes - Legacy EditionCompany of Heroes - Legacy Edition
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
4700,Medieval II: Total War™
4720,Condemned: Criminal Origins
4760,Rome: Total War™ - Collection
4850,Cossacks: Back to War
4920,Natural Selection 2Natural Selection 2Natural Selection 2
6000,STAR WARS™ Republic Commando™
6020,STAR WARS™ Jedi Knight - Jedi Academy™
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™
6060,"Star Wars: Battlefront 2 (Classic, 2005)"
6120,ShankShank
6220,FlatOut
6310,The Longest JourneyThe Longest JourneyThe Longest Journey
6370,Bloodline ChampionsBloodline ChampionsBloodline Champions
6420,Nexus - The Jupiter IncidentNexus - The Jupiter IncidentNexus - The Jupiter Incident
6550,Devil May Cry® 3 Special Edition
6800,Commandos: Behind Enemy Lines
6830,Commandos 2: Men of Courage
6850,Hitman 2: Silent Assassin
6860,Hitman: Blood Money
6870,Battlestations: Midway
6880,Just Cause
6900,Hitman: Codename 47
6910,Deus Ex: Game of the Year Edition
6980,Thief: Deadly Shadows
7000,Tomb Raider: LegendTomb Raider: Legend
7200,Trackmania United Forever Star Edition
7510,X-BladesX-BladesX-Blades
7520,Two Worlds II HD
7600,Sid Meier's Railroads!
7660,X-COM: Apocalypse
7670,BioShock™BioShock™
7760,X-COM: UFO Defense
7830,Men of War™
7860,NecroVision
7940,Call of Duty® 4: Modern Warfare®
8000,Tomb Raider: AnniversaryTomb Raider: Anniversary
8080,Kane and Lynch: Dead Men™
8140,Tomb Raider: UnderworldTomb Raider: Underworld
8170,Battlestations PacificBattlestations Pacific
8190,Just Cause 2Just Cause 2
8340,Strong Bad's Cool Game for Attractive People: Season 1
8400,Geometry Wars: Retro Evolved
8500,EVE OnlineEVE OnlineEVE OnlineEVE OnlineEVE Online
8600,RACE 07
8800,Civilization IV: Beyond the Sword
8850,BioShock® 2
8870,BioShock Infinite
8880,Freedom ForceFreedom Force
8930,Sid Meier's Civilization® V
8980,BorderlandsBorderlands
9010,Return to Castle Wolfenstein
9050,DOOM 3
9070,DOOM 3 Resurrection of Evil
9180,Commander Keen
9200,RAGE
9350,Supreme Commander
9420,Supreme Commander: Forged Alliance
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm"
9460,Frontlines™: Fuel of War™
9480,Saints Row 2
9500,Gish
9880,Champions OnlineChampions OnlineChampions Online
9900,Star Trek OnlineStar Trek OnlineStar Trek Online
9930,Test Drive Unlimited 2
9940,Blade KittenBlade Kitten
10090,Call of Duty: World at War
10130,TimeShift™
10150,Prototype™Prototype™
10180,Call of Duty®: Modern Warfare® 2
10220,Postal III
10500,Empire: Total War™
10680,Aliens vs. Predator™
11020,TrackMania Nations Forever
11240,Space Trader: Merchant MarineSpace Trader: Merchant MarineSpace Trader: Merchant Marine
11260,Pacific Storm AlliesPacific Storm Allies
11280,Penguins Arena: Sedna's WorldPenguins Arena: Sedna's WorldPenguins Arena: Sedna's World
11330,ObulisObulis
11390,Crash Time 2Crash Time 2
11450,Overlord™
11590,Hospital Tycoon
11610,Dragon NestDragon NestDragon NestDragon Nest
12100,Grand Theft Auto III
12110,Grand Theft Auto: Vice City
12120,Grand Theft Auto: San Andreas
12140,Max Payne
12150,Max Payne 2: The Fall of Max Payne
12160,Midnight Club 2
12200,Bully: Scholarship EditionBully: Scholarship Edition
12220,Grand Theft Auto: Episodes from Liberty City
12330,Darkstar One
12360,FlatOut: Ultimate Carnage
12470,Port Royale 2
12480,9th Company: Roots Of Terror
12500,PuzzleQuest: Challenge of the Warlords
12510,Prison Tycoon 3™: Lockdown
12810,Overlord II
12830,Operation Flashpoint: Dragon Rising
12900,AudioSurf
13210,Unreal Tournament 3 Black
13230,Unreal Tournament 2004: Editor's Choice Edition
13250,Unreal Gold
13500,Prince of Persia: Warrior Within™Prince of Persia: Warrior Within™
13520,Far Cry®
13540,Tom Clancy's Rainbow Six® Vegas
13560,Tom Clancy's Splinter Cell®
13570,Tom Clancy's Splinter Cell Chaos Theory®
13600,Prince of Persia®: The Sands of TimePrince of Persia®: The Sands of Time
15100,Assassin's Creed™: Director's Cut EditionAssassin's Creed™: Director's Cut Edition
15120,Tom Clancy's Rainbow Six® Vegas 2
15130,Beyond Good and Evil™Beyond Good and Evil™
15170,Heroes of Might & Magic V
15200,Silent Hunter®: Wolves of the Pacific
15300,Tom Clancy's Ghost Recon®
15320,IL-2 Sturmovik: 1946
15390,Brothers in Arms: Hell's Highway™
15520,AaAaAA!!! - A Reckless Disregard for GravityAaAaAA!!! - A Reckless Disregard for GravityAaAaAA!!! - A Reckless Disregard for Gravity
15620,"Warhammer 40,000: Dawn of War II"
15700,Oddworld: Abe's Oddysee®
15710,Oddworld: Abe's Exoddus®
15750,Oddworld: Stranger's Wrath HDOddworld: Stranger's Wrath HDOddworld: Stranger's Wrath HD
16120,Plant TycoonPlant Tycoon
16450,F.E.A.R. 2: Project Origin
16600,Trials 2: Second EditionTrials 2: Second EditionTrials 2: Second Edition
16720,Velvet Assassin
16810,Sid Meier's Civilization IV: Colonization
17080,Tribes: AscendTribes: Ascend
17100,Children of the Nile: Enhanced EditionChildren of the Nile: Enhanced Edition
17300,Crysis
17330,Crysis Warhead®
17390,SPORE™
17410,Mirror's Edge™Mirror's Edge™
17430,Need for Speed UndercoverNeed for Speed Undercover
17440,SPORE™ Creepy & Cute Parts Pack
17450,Dragon Age: Origins
17460,Mass EffectMass Effect
17470,Dead Space
17480,Command & Conquer: Red Alert 3
17570,"Pirates, Vikings, and Knights IIPirates, Vikings, and Knights IIPirates, Vikings, and Knights II"
17580,DystopiaDystopiaDystopia
17710,Nuclear DawnNuclear Dawn
18000,"Precipice of Darkness, Episode OnePrecipice of Darkness, Episode One"
18020,"Precipice of Darkness, Episode TwoPrecipice of Darkness, Episode Two"
18040,DeathSpankDeathSpankDeathSpank
18500,Defense Grid: The AwakeningDefense Grid: The Awakening
18700,And Yet It MovesAnd Yet It Moves
18820,Zero GearZero GearZero GearZero Gear
19000,Silent Hill Homecoming
19830,Tom Clancy's Rainbow Six® 3 Gold
19900,Far Cry® 2: Fortune's Edition
20500,Red Faction Guerrilla Steam Edition
20510,S.T.A.L.K.E.R.: Clear SkyS.T.A.L.K.E.R.: Clear Sky
20530,Red Faction
20540,Company of Heroes: Tales of Valor
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising"
20900,The Witcher: Enhanced Edition Director's CutThe Witcher: Enhanced Edition Director's Cut
20920,The Witcher 2: Assassins of Kings Enhanced Edition
21000,LEGO BatmanLEGO Batman
21090,F.E.A.R.
21100,F.E.A.R. 3
21660,Street Fighter® IV
21690,Resident Evil™ 5/ Biohazard 5®Resident Evil™ 5/ Biohazard 5®
21780,Driver® Parallel Lines
22000,World of Goo
22100,Mount & BladeMount & Blade
22120,Penumbra: Black Plague Gold EditionPenumbra: Black Plague Gold EditionPenumbra: Black Plague Gold Edition
22180,Penumbra OverturePenumbra OverturePenumbra Overture
22200,Zeno ClashZeno Clash
22230,Rock of AgesRock of AgesRock of AgesRock of Ages
22300,Fallout 3
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition
22350,BRINKBRINK
22370,Fallout 3: Game of the Year Edition
22380,Fallout: New VegasFallout: New Vegas
22450,Hunted: The Demon’s Forge™Hunted: The Demon’s Forge™
22600,Worms Reloaded
22610,Alien Breed: Impact
22650,Alien Breed 2: Assault
23310,The Last Remnant™
