Id_hecho,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
2016-0001,1,2016-01-01,04:00:00,AVENIDA,8,-58.47533969,-34.68757022,MOTO - AUTO,MOTO,AUTO
2016-0002,1,2016-01-02,01:15:00,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO - PASAJEROS,AUTO,PASAJEROS
2016-0003,1,2016-01-03,07:00:00,AVENIDA,1,-58.39040293,-34.63189362,MOTO - AUTO,MOTO,AUTO
2016-0004,1,2016-01-10,00:00:00,AVENIDA,8,-58.46503904,-34.68092974,MOTO - SIN DATO,MOTO,SIN DATO
2016-0005,1,2016-01-21,05:20:00,AVENIDA,1,-58.38718297,-34.62246630,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0008,1,2016-01-24,18:30:00,AVENIDA,8,-58.44451316,-34.68475866,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2016-0009,1,2016-01-24,19:10:00,CALLE,11,-58.50095869,-34.60825440,MOTO - AUTO,MOTO,AUTO
2016-0010,1,2016-01-29,15:20:00,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO - AUTO,MOTO,AUTO
2016-0012,1,2016-02-08,01:20:00,AVENIDA,1,-58.38048577,-34.61303893,MOTO - CARGAS,MOTO,CARGAS
2016-0013,1,2016-02-10,11:30:00,AVENIDA,1,-58.39114932,-34.62477387,PEATON - AUTO,PEATON,AUTO
2016-0015,1,2016-02-14,05:14:00,AVENIDA,15,-58.43760020,-34.59912758,PEATON - AUTO,PEATON,AUTO
2016-0016,1,2016-02-14,22:00:00,AVENIDA,4,-58.36882665,-34.64291993,MOTO - AUTO,MOTO,AUTO
2016-0017,1,2016-02-15,16:54:00,AVENIDA,8,-58.44989671,-34.65970435,PEATON - MOTO,PEATON,MOTO
2016-0019,1,2016-02-17,09:30:00,CALLE,9,-58.50990884,-34.65468721,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0020,1,2016-02-17,16:00:00,CALLE,1,-58.37952223,-34.60653282,PEATON - AUTO,PEATON,AUTO
2016-0021,1,2016-02-17,23:35:00,AVENIDA,7,-58.45157703,-34.63063795,AUTO - AUTO,AUTO,AUTO
2016-0022,1,2016-02-21,06:00:00,AVENIDA,1,-58.38144696,-34.61079875,MOTO - AUTO,MOTO,AUTO
2016-0025,1,2016-02-28,04:50:00,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO - AUTO,AUTO,AUTO
2016-0026,1,2016-02-28,07:30:00,CALLE,12,-58.49216191,-34.54738649,AUTO - OBJETO FIJO,AUTO,OBJETO FIJO
2016-0027,1,2016-02-28,09:35:00,AVENIDA,7,-58.44497874,-34.63852623,AUTO - AUTO,AUTO,AUTO
2016-0028,1,2016-03-02,10:00:00,AVENIDA,1,-58.38199706,-34.60028648,PEATON - CARGAS,PEATON,CARGAS
2016-0029,1,2016-03-04,17:30:00,AVENIDA,12,-58.47378664,-34.54153077,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0031,1,2016-03-08,12:30:00,GRAL PAZ,8,-58.47064556,-34.69843756,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0034,1,2016-03-12,12:30:00,AVENIDA,4,-58.40623949,-34.65076549,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0035,1,2016-03-13,06:00:00,AVENIDA,3,-58.39228965,-34.60443527,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0036,1,2016-03-14,00:15:00,CALLE,4,-58.37813396,-34.63668504,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0037,1,2016-03-19,11:00:00,AVENIDA,7,-58.46275892,-34.64358293,MOTO - MOTO,MOTO,MOTO
2016-0038,1,2016-03-21,08:06:00,GRAL PAZ,8,-58.49683458,-34.67892743,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0039,1,2016-03-23,01:50:00,AVENIDA,3,-58.40603217,-34.60883960,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0041,2,2016-03-29,11:00:00,AVENIDA,7,-58.46076550,-34.63350444,MOTO - CARGAS,MOTO,CARGAS
2016-0043,1,2016-03-30,18:15:00,AVENIDA,8,-58.47832463,-34.67494416,PEATON - CARGAS,PEATON,CARGAS
2016-0044,1,2016-03-31,19:40:00,AVENIDA,7,-58.43213235,-34.63693953,MOTO - MULTIPLE,MOTO,MULTIPLE
2016-0045,1,2016-04-11,10:25:00,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO - SIN DATO,MOTO,SIN DATO
2016-0047,1,2016-04-15,05:30:00,CALLE,1,-58.38247061,-34.62571878,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0048,1,2016-04-15,17:40:00,AVENIDA,15,-58.44759966,-34.59170240,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0049,1,2016-04-17,00:00:00,AUTOPISTA,4,-58.37714647568196,-34.63657525428238,SIN DATO - SIN DATO,SIN DATO,SIN DATO
